"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout";"M1_A_S";"M2_A_S";"M3_A_S";"IsServingSetterFront"
"S127417_1H0V0";"Praha";"Kladno";"R";1;3;4459;"RegularGame";34,3381759268929;1;0;-34,3381759268929;-34,3381759268929;0
"S127417_1H1V1";"Praha";"Kladno";"S";6;2;4526;"RegularGame";34,4789826530612;0;100;65,5210173469388;65,5210173469388;0
"S127417_1H1V2";"Praha";"Kladno";"S";6;2;4526;"RegularGame";34,4789826530612;0,4850044;100;65,5210173469388;17,0205773469388;0
"S127417_1H1V3";"Praha";"Kladno";"R";6;2;4526;"RegularGame";34,4789826530612;1;0;-34,4789826530612;-34,4789826530612;0
"S127417_1H2V3";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0,3687095;100;62,3670298022599;25,4960798022599;0
"S127417_1H3V3";"Kladno";"Praha";"R";1;6;4344;"RegularGame";37,6329701977401;0,4597174;0;-37,6329701977401;16,3952898022599;0
"S127417_1H3V4";"Praha";"Kladno";"R";5;1;4355;"RegularGame";33,3609808196721;1;0;-33,3609808196721;-33,3609808196721;0
"S127417_1H4V4";"Kladno";"Praha";"R";6;5;4445;"RegularGame";34,9852440199335;1;0;-34,9852440199335;-34,9852440199335;0
"S127417_1H5V5";"Kladno";"Praha";"R";5;4;4437;"RegularGame";32,8818041071428;0,575266;0;-32,8818041071428;9,5915958928572;0
"S127417_1H5V6";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0;100;68,6396655958549;68,6396655958549;1
"S127417_1H5V7";"Praha";"Kladno";"R";3;5;4357;"RegularGame";31,3603344041451;1;0;-31,3603344041451;-31,3603344041451;1
"S127417_1H7V8";"Kladno";"Praha";"S";3;2;4443;"RegularGame";35,4042121759259;0,4775763;100;64,5957878240741;16,8381578240741;1
"S127417_1H8V8";"Kladno";"Praha";"R";3;2;4443;"RegularGame";35,4042121759259;1;0;-35,4042121759259;-35,4042121759259;1
"S127417_1H8V9";"Praha";"Kladno";"S";1;3;4459;"RegularGame";34,3381759268929;0,4128309;100;65,6618240731071;24,3787340731071;0
"S127417_1H8V10";"Praha";"Kladno";"S";1;3;4459;"RegularGame";34,3381759268929;0;100;65,6618240731071;65,6618240731071;0
"S127417_1H8V11";"Praha";"Kladno";"R";1;3;4459;"RegularGame";34,3381759268929;0,4164149;0;-34,3381759268929;24,0203340731071;0
"S127417_1H9V11";"Kladno";"Praha";"R";2;1;4449;"RegularGame";36,928840872093;1;0;-36,928840872093;-36,928840872093;1
"S127417_1H9V12";"Praha";"Kladno";"R";6;2;4526;"RegularGame";34,4789826530612;1;0;-34,4789826530612;-34,4789826530612;0
"S127417_1H10V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0;100;62,3670298022599;62,3670298022599;0
"S127417_1H11V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0;100;62,3670298022599;62,3670298022599;0
"S127417_1H12V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0,3687095;100;62,3670298022599;25,4960798022599;0
"S127417_1H13V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0,3694937;100;62,3670298022599;25,4176598022599;0
"S127417_1H14V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0,2142572;100;62,3670298022599;40,9413098022599;0
"S127417_1H15V12";"Kladno";"Praha";"R";1;6;4344;"RegularGame";37,6329701977401;0,646903;0;-37,6329701977401;-2,32327019774011;0
"S127417_1H15V13";"Praha";"Kladno";"S";5;1;4355;"RegularGame";33,3609808196721;0;100;66,6390191803279;66,6390191803279;0
"S127417_1H15V14";"Praha";"Kladno";"R";5;1;4355;"RegularGame";33,3609808196721;0,4164149;0;-33,3609808196721;24,9975291803279;0
"S127417_1H16V14";"Kladno";"Praha";"R";6;5;4445;"RegularGame";34,9852440199335;1;0;-34,9852440199335;-34,9852440199335;0
"S127417_1H16V15";"Praha";"Kladno";"S";4;6;4525;"RegularGame";38,5759974166667;0,4850044;100;61,4240025833333;12,9235625833333;1
"S127417_1H16V16";"Praha";"Kladno";"S";4;6;4525;"RegularGame";38,5759974166667;0;100;61,4240025833333;61,4240025833333;1
"S127417_1H16V17";"Praha";"Kladno";"S";4;6;4525;"RegularGame";38,5759974166667;0,3687095;100;61,4240025833333;24,5530525833333;1
"S127417_1H16V18";"Praha";"Kladno";"R";4;6;4525;"RegularGame";38,5759974166667;1;0;-38,5759974166667;-38,5759974166667;1
"S127417_1H17V19";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0,4588627;100;68,6396655958549;22,7533955958549;1
"S127417_1H17V20";"Praha";"Kladno";"S";3;5;4357;"LosingInTightEndgame";31,3603344041451;0,3753631;100;68,6396655958549;31,1033555958549;1
"S127417_1H17V21";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0;100;68,6396655958549;68,6396655958549;1
"S127417_1H17V22";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0,575266;100;68,6396655958549;11,1130655958549;1
"S127417_1H17V23";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0,2025275;100;68,6396655958549;48,3869155958549;1
"S127417_1H18V24";"Kladno";"Praha";"S";4;3;4318;"RegularGame";35,6473187586207;0;100;64,3526812413793;64,3526812413793;1
"S127417_1H19V24";"Kladno";"Praha";"R";4;3;4318;"RegularGame";35,6473187586207;1;0;-35,6473187586207;-35,6473187586207;1
"S127417_2H0V0";"Kladno";"Praha";"S";2;2;4449;"RegularGame";36,928840872093;0;100;63,071159127907;63,071159127907;1
"S127417_2H1V0";"Kladno";"Praha";"S";2;2;4449;"RegularGame";36,928840872093;0;100;63,071159127907;63,071159127907;1
